Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_36_538.jpg;0;0;1;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_36_571.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_36_624.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_36_672.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_36_713.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_36_755.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_36_806.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_36_855.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_36_906.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_36_955.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_37_006.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_37_053.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_37_104.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_37_159.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_37_207.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_37_417.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_37_481.jpg;0;0;0;0;99.66999;85.58897;0.0002361365;56.82556;-3.72829E-07
/home/nitesh/Downloads/Linux_Roversim/train_data_3/IMG/robocam_2025_04_07_07_11_37_522.jpg;0;0;0;0;99.66999;85.58897;0.000236106;56.82556;-2.705497E-07
